V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	
1	-1.322968324	0.548936708	1.18767696	0.567440747	0.353764402	0.381229934	-0.443509637	-0.411484967	1.07138977	0.700530159
2	-0.578200369	1.606117925	-0.729989367	0.074758487	0.217721621	-0.747505627	-0.209623323	-2.215975367	0.576929168	0.530727058
3	1.808074514	0.178635485	-1.296951434	-0.093366507	0.923559747	-1.066041594	-0.770659713	-0.744483396	-0.343722781	-0.950072581
4	0.310554676	-0.492169054	0.335014681	-0.341318738	0.550646246	-0.719351722	-0.418099959	0.091174202	-0.708704851	0.33286804
5	-0.844545285	0.575602344	1.48376097	-0.072749964	1.077800866	-0.569709533	-0.091944866	-2.202110453	-0.744599514	-1.255104668
6	-0.526567203	-0.523962227	-0.386180216	0.525051494	-0.852501071	-0.400931647	0.731310373	-0.594158962	0.949920483	-0.364829016
7	-0.789266929	-0.300954509	-1.069211872	-0.446601023	2.199856563	-0.996886881	-1.527495019	-0.862250038	0.006475997	0.33351405
8	0.127030468	0.036840939	-0.127351634	-0.342932141	-1.365553252	-0.779323062	1.481874133	0.078608104	0.539115258	0.672879435
9	1.664697734	0.718784986	0.59326582	0.32396655	0.362398098	0.191585226	0.280273493	-0.578204274	-0.582546673	0.809510453
10	-1.091127629	-1.433842839	1.732704157	-1.3114207	0.867671254	-1.158452689	-1.302263263	1.020966669	-0.07928487	0.199469245
